TIC_Number,R.A_(J2000),Dec._(J2000),pmRA_(mas/yr),pmDEC_(mas/yr),TESSmag,Common_Name,Extended_Flag,Special_Handling_Flag,20_Second_Cadence_Flag,Swift_Time_Request_(ksec),NICER_Time_Request_(ksec),Remarks
388857263,217.428793,-62.679592,-3776,768,7.36,,N,N,Y,,10,None
388858412,217.42419,-62.674187,0,0,15.714,,N,N,Y,,15,None
388870887,217.416429,-62.678303,0,0,15.748,,N,N,Y,,20,None
388867103,217.435982,-62.684608,-4.5,-2.4,14.414,,N,N,Y,,5,None
388859317,217.426054,-62.686035,0,0,16.044,,N,N,Y,,0.1,None
388864122,217.443353,-62.676582,0,0,15.837,,N,N,Y,,0.0,None
388857279,217.434304,-62.686924,-10.6,-2.6,14.648,,N,N,Y,,0.0,None
388870775,217.413,-62.682472,0,0,17.048,,N,N,Y,,0.0,None
388858524,217.416893,-62.673721,0,0,18.149,,N,N,N,,0.0,None
388858269,217.413616,-62.683952,0,0,16.065,,N,N,N,,0.0,None
388865744,217.431084,-62.687775,0,0,14.781,,N,N,N,,0.0,None
388871222,217.440001,-62.672432,0,0,16.065,,N,N,N,,0.0,None
388857927,217.420248,-62.687332,0,0,16.02,,N,N,N,,0.0,None
388857559,217.44129,-62.687035,0,0,16.059,,N,N,N,,0.0,None
388867748,217.418153,-62.671268,0,0,16.663,,N,N,N,,0.0,None
388865099,217.408812,-62.676643,0,0,16.521,,N,N,N,,0.0,None
388868472,217.422026,-62.669838,0,0,15.13,,N,N,N,,0.0,None
388852425,217.410654,-62.685806,-26.5,11.8,15.915,,N,N,N,,0.0,None
388864530,217.407912,-62.67522,0,0,16.76,,N,N,N,,0.0,None
388870754,217.411581,-62.67252,0,0,14.867,,N,N,N,,0.0,None
388862560,217.436278,-62.689747,0,0,15.863,,N,N,N,,0.0,None
388852438,217.452209,-62.68137,-28.9,-18.5,14.821,,N,N,N,,0.0,None
388862593,217.452268,-62.677753,0,0,16.907,,N,N,N,,0.0,None
388871018,217.425707,-62.690388,0,0,16.429,,N,N,N,,0.0,None
388862639,217.43896,-62.689644,0,0,16.399,,N,N,N,,0.0,None
388852439,217.451489,-62.684315,-7.1,1.5,15.618,,N,N,N,,0.0,None